HouseDescription,Address,Cost
For Sale Others 3 Bedrooms 2 Bathrooms 50 sqm. ,"Mactan, Lapu-Lapu, Cebu",₱ 9.50 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 44 sqm. ,"Santo Tomas, Batangas",₱ 1.62 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 100 sqm. ,"Quezon City / QC, Metro Manila",₱ 6.30 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 35 sqm. ,"Puerto Princesa, Palawan",₱ 4.70 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 58 sqm. ,"Carcar, Cebu",₱ 1.81 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 40 sqm. ,"Nasugbu, Batangas",₱ 2.30 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 44 sqm. ,"Rodriguez (Montalban), Rizal",₱ 1.82 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 44 sqm. ,"San Rafael, Bulacan",₱ 1.11 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 48 sqm. ,"Butuan, Agusan del Norte",₱ 2.24 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 40 sqm. ,"Trece Martires, Cavite",₱ 2.33 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 44 sqm. ,"San Rafael, Bulacan",₱ 1.11 million
For Sale Others 4 Bedrooms 3 Bathrooms 90 sqm. ,"Trece Martires, Cavite",₱ 7.16 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 51 sqm. ,"Tanauan, Batangas",₱ 1.50 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 44 sqm. ,"Malolos, Bulacan",₱ 2.01 million
For Sale Single Attached House 2 Bedrooms 1 Bathroom 40 sqm. ,"Puerto Princesa, Palawan",₱ 3.13 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 60 sqm. ,"Imus, Cavite",₱ 2.69 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 40 sqm. ,"General Trias, Cavite",₱ 2.87 million
For Sale Single Detached House 2 Bedrooms 2 Bathrooms 48 sqm. ,"Dauis, Bohol",₱ 3.06 million
For Sale Duplex / Twin House 2 Bedrooms 1 Bathroom 44 sqm. ,"Baliuag, Bulacan",₱ 1.56 million
For Sale Townhouse 1 Bedroom 1 Bathroom 100 sqm. ,"Talisay, Batangas",₱ 7.95 million
For Sale Townhouse 2 Bedrooms 2 Bathrooms 48 sqm. ,"San Jose, Batangas",₱ 3.39 million
For Sale Single Attached House 2 Bedrooms 2 Bathrooms 117 sqm. ,"Cagayan de Oro, Misamis Oriental",₱ 3.00 million
For Sale Townhouse 3 Bedrooms 1 Bathroom 40 sqm. ,"Imus, Cavite",₱ 1.80 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 40 sqm. ,"Tanza, Cavite",₱ 1.78 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 75 sqm. ,"Padre Garcia, Batangas",₱ 4.70 million
For Sale Townhouse 3 Bedrooms 1 Bathroom 40 sqm. ,"Imus, Cavite",₱ 1.99 million
For Sale Townhouse 5 Bedrooms 4 Bathrooms 189 sqm. ,"Las Piñas, Metro Manila",₱ 8.80 million
For Sale Single Detached House 4 Bedrooms 4 Bathrooms 155 sqm. ,"Tagum, Davao del Norte",₱ 6.76 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 40 sqm. ,"San Jose del Monte, Bulacan",₱ 3.07 million
For Sale Duplex / Twin House 4 Bedrooms 3 Bathrooms 80 sqm. ,"Marilao, Bulacan",₱ 4.70 million
For Sale Single Attached House 2 Bedrooms 2 Bathrooms 80 sqm. ,"Trece Martires, Cavite",₱ 3.58 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 104 sqm. ,"Novaliches, Quezon City / QC, Metro Manila",₱ 5.51 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 65 sqm. ,"Trece Martires, Cavite",₱ 5.24 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 104 sqm. ,"Novaliches, Quezon City / QC, Metro Manila",₱ 5.51 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 36 sqm. ,"Malvar, Batangas",₱ 2.59 million
For Sale Townhouse 3 Bedrooms 1 Bathroom 46 sqm. ,"Lipa, Batangas",₱ 1.07 million
For Sale Duplex / Twin House 3 Bedrooms 2 Bathrooms 54 sqm. ,"General Trias, Cavite",₱ 3.40 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 65 sqm. ,"Calamba, Laguna",₱ 6.19 million
For Sale Duplex / Twin House 4 Bedrooms 3 Bathrooms 80 sqm. ,"Marilao, Bulacan",₱ 4.70 million
For Sale Townhouse 4 Bedrooms 4 Bathrooms 170 sqm. ,"Antipolo, Rizal",₱ 11.5 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 74 sqm. ,"San Pablo, Laguna",₱ 3.70 million
