ProductDescription,Prices
" Asus Vivobook X515EA-BQ2124WS Intel Core i3 11th Gen
Intel Core i3-1115G4, 12GB DDR4 Memory, 512GB NVMe M.2 SSD, 15.6 inches (1366 x 768) HD Display, Intel UHD Graphics, Windows 11 
                        	Pay only P 3,012 a Month for 12 months or
P 5,705 a Month for 6 months on major credit cards.
						
"," ₱ 31,995

"
" Lenovo IdeaPad Slim 3i 14ITL05 (81X7004UPH) Core i3 11th Gen
Intel Core i3-1115G4 (2C / 4T, 3.0 / 4.1GHz, 6MB), Soldered  4GB DDR4 + 4GB SO-DIMM DDR4, 512GB 512GB SSD M.2 2242 PCIe 3.0x4 NVMe, 14 inches HD (1366x768), Integrated Intel UHD Graphics, Windows 10 
                        	Pay only P 3,012 a Month for 12 months or
P 5,705 a Month for 6 months on major credit cards.
						
"," ₱ 31,995

"
" Lenovo IdeaPad Slim 3i 15ITL05 81X800L5PH Intel Core i3 11th Gen
Intel Core i3-1115G4 (2C / 4T, 3.0 / 4.1GHz, 6MB) 4GB Soldered DDR4-2666 + 4GB DDR4-2666, 512GB SSD M.2 2242 PCIe 3.0x4 NVMe, Display 15.6 inches FHD (1920x1080), Intel UHD Graphics, Windows 11 
                        	Pay only P 3,012 a Month for 12 months or
P 5,705 a Month for 6 months on major credit cards.
						 Free: Microsoft Office Home and Student 2021 (Pre-Installed)
"," ₱ 31,995

"
" Asus X415EA-EK760T Intel Core i3 11th Gen
Intel Core i3-1115G4 Processor 3.0 GHz (6M Cache, up to 4.1 GHz, 2 cores), 8GB RAM, 1TB HDD + 128GB SSD, 14 inches FHD (1920 x 1080), Intel UHD Graphics, Windows 10 
                        	Pay only P 3,012 a Month for 12 months or
P 5,705 a Month for 6 months on major credit cards.
						 NOW! P30,995 Promo. Valid until June 30, 2022
"," ₱ 31,995

"
" Lenovo Slim 3i - 14ITL08 (81X700ERPH) Intel Core I3- 1115g4
Lenovo (IdeaPad) Slim 3i 14ITL05 81X700ERPH Platinum gray, Intel Core i3-1115G4 (2C / 4T, 3.0 / 4.1GHz, 6MB) , Integrated Intel UHD Graphics , 4GB Soldered DDR4-2666 + 4GB SO-DIMM DDR4-2666 , 512GB SSD M.2 2242 PCIe 3.0x4 NVMe , Display 14 inch FHD (1920x1080) TN 220nits Anti-glare , WLAN + Bluetooth 11ac, 2x2 + BT5.0 , Battery Integrated 35Wh , Windows 11 
                        	Pay only P 3,012 a Month for 12 months or
P 5,705 a Month for 6 months on major credit cards.
						
"," ₱ 31,995

"
" Asus X415EA-EK1661WS Intel Core i3 11th Gen
Intel Core i3 1115G4, 4GB onboard + 4GB DDR4, 256GB M.2 NVMe SSD + 1TB HDD, 14.0-inch,HD (1366 x 768), Intel UHD Graphics, Windows 11, Microsoft Office Home and Student 2019 (Pre-Installed) 
                        	Pay only P 3,013 a Month for 12 months or
P 5,706 a Month for 6 months on major credit cards.
						
"," ₱ 31,999

"
" Acer Aspire 3 A315-58-3080 Intel Core i3 11th Gen
Intel Core i3-1115G4 processor (6 MB Smart Cache, 3.0 GHz with Turbo Boost up to 4.1 GHz, DDR4 or LPDDR4x), 8GB of onboard DDR4, 512GB M.2 NVMe SSD, 15.6 inches Full HD 1920 x 1080, Intel UHD Graphics, Windows 11 + Microsoft Office Home and Student 2021 (Pre-Installed) 
                        	Pay only P 3,013 a Month for 12 months or
P 5,706 a Month for 6 months on major credit cards.
						
"," ₱ 31,999

"
" Acer Aspire 5 A514-53G-382L (Pure Silver) Core i3 10th Gen
Intel Core i3-1005G1 Processor 4M Cache, up to 3.40 GHz, 14 inches FHD IPS Technology, 2GB NVIDIA GeForce MX350, 4GB DDR4, 1TB HDD + 128GB NVMe SSD, Windows 10 
                        	Pay only P 3,013 a Month for 12 months or
P 5,706 a Month for 6 months on major credit cards.
						
"," ₱ 31,999

"
" Acer Aspire 5 A514-54-32SA Intel Core i3-1115ga
Aspire 5 Intel Core i3-1115G4 processor (6 MB Smart Cache, 3.0 GHz with Turbo Boost up to 4.1 GHz, DDR4 or LPDDR4x) ,m 8GB of onboard DDR4 system memory,512GB NVMe SSD ,Intel UHD Graphics, Windows 11 Home 
                        	Pay only P 3,013 a Month for 12 months or
P 5,706 a Month for 6 months on major credit cards.
						
"," ₱ 31,999

"
" Acer Aspire 5 A514-53G-37FG Intel Core i3 10th Gen
Intel Core i3-1005G1 Processor 4M Cache, up to 3.40 GHz,4GB DDR4, 2GB NVIDIA GeForce MX350, 14 inches FHD In-plane Switching, 1TB HDD + 128GB NVMe SSD, Windows 10 
                        	Pay only P 3,013 a Month for 12 months or
P 5,706 a Month for 6 months on major credit cards.
						
"," ₱ 31,999

"
" Asus X415EA-EB1552WS Intel Core i3 11th Gen
Intel Core i3-1115G4 Processor 3.0 GHz (6M Cache, up to 4.1 GHz, 2 cores), 12GB DDR4, 256GB NVMe M.2 SSD + 1TB HDD, 14.0 inches FHD Display (1920x1080), Intel UHD Graphics, Windows 11, MS Office 2019 Home & Student 
                        	Pay only P 3,059 a Month for 12 months or
P 5,794 a Month for 6 months on major credit cards.
						
"," ₱ 32,495

"
" Lenovo IdeaPad Slim 3i 15IML05 81WB013MPH Intel Core i3 10th Gen
Intel Core i3-10110U (2C / 4T, 2.1 / 4.1GHz, 4MB), 4GB Soldered DDR4-2666, 512GB SSD M.2 2242 PCIe 3.0x2 NVMe, 15.6in HD (1366x768) TN 220nits Anti-glare, Integrated Intel UHD Graphics, Windows 11 Home Pay only P 5,499 a Month for 6 months or
P 2,942 a Month for 12 months on major credit cards.
"," ₱ 32,995

"
" Huawei MatePad Pro (Midnight Grey) MRX - AL09
Capturing beautiful colours from nature, HUAWEI MatePad Pro comes with four options. The mysterious Midnight Grey and pristine Pearl White are coated with sleek glass fiber, so the light body glimmers with shine to complement your style. Wrapped in an elegant vegan leather, the dignified Forest Green delivers a tranquil style, while the refreshing Orange adds more punch to your daily life 
                        	Pay only P 3,107 a Month for 12 months or
P 5,884 a Month for 6 months on major credit cards.
						
"," ₱ 32,999

"
