,Brand,StorageCapacity,ScreenSize,BatteryCap,Prices
200,Samsung,128GB,6.0-6.5 inches,3700mAh-4200mAh,45990.0
201,Samsung,512GB,6.5-6.99 inches,5000+mAh,80990.0
202,Samsung,128GB,6.5-6.99 inches,5000+mAh,26990.0
203,Samsung,128GB,6.0-6.5 inches,4201mAh-4999mAh,34990.0
204,OPPO,128GB,6.0-6.5 inches,4201mAh-4999mAh,23999.0
205,OPPO,128GB,6.0-6.5 inches,4201mAh-4999mAh,18999.0
206,OPPO,256GB,6.5-6.99 inches,5000+mAh,15999.0
207,Xiaomi,64GB,6.5-6.99 inches,5000+mAh,6699.0
208,OPPO,128GB,6.0-6.5 inches,4201mAh-4999mAh,19999.0
209,OPPO,256GB,6.0-6.5 inches,4201mAh-4999mAh,23999.0
